id,title,desc,action,level
1,"Levante a mão se você gosta de pão integral","",1,1
2,"Levante a mão se você gosta de chocolate branco","",1,1
3,"Levante a mão se você tem mais de um celular","",1,1
4,"Levante a mão se você se acha bonito","",1,1
5,"Aponte para a pessoa mais inteligente","",3,1
6,"Aponte para a pessoa mais bonita","",3,1
7,"Aponte para a pessoa que tem mais dinheiro","",3,1
8,"Levante a mão se você já ficou bêbado","",1,2
9,"Levante a mão se você sabe cozinhar bem","",1,1
10,"Levante a mão se você toca algum instrumento musical","",1,1
11,"Levante a mão se você possui alguma arma","",1,2
12,"Aponte para a pessoa mais estabanada","",3,2
13,"Levante a mão se você já fumou","",1,2
14,"Aponte pra pessoa que mais bebe","",3,2
15,"Levante um dedo para cada droga diferente que você já consumiu","(Incluindo álcool e cigarro)",4,3
16,"Aponte pra pessoa com mais nudes no celular","",3,3
17,"Aponte pra pessoa mais estressada","",3,1
18,"Aponte pra quem é mais viciado em pornô","",3,3
19,"Levanta a mão se você tem mais de R$ 200 na carteira","",1,2
20,"Levante a mão se você já fez sexo em público","",1,4
21,"Levante a mão se você já entrou em um motel","",1,3
22,"Aponte para a pessoa que mais transou","",3,3
23,"Aponte para a pessoa mais gay","",3,2
24,"Aponte para a pessoa mais faladora","",3,2
25,"Aponte o dedo pra quem gosta mais de café","",3,1
26,"Aponte o dedo pra quem você acha que é o mentiroso","",3,1
27,"Levante a mão se você já tirou comida do lixo e comeu","",1,1
28,"Aponte para a pessoa que você gosta mais","",3,2
29,"Levante a mão se você já bebeu até ficar insconsciente","",1,3
30,"Levante a mão se já apagou um post em uma rede social por ter poucas curtidas","",1,2
31,"Levante a mão se você já roubou um objeto de uma loja","",1,2
32,"Levante a mão se você já chamou o nome errado durante o sexo","",1,4
33,"Levante a mão se já ficou com alguém da sua família","",1,4
34,"Levante a mão se já enviou uma mensagem erótica para o número errado","",1,4
35,"Levante a mão se já mandou nudes pra pessoa errada","",1,3
36,"Aponte para a pessoa que gosta de pessoas mais velhas","",3,3
37,"Levante a mão se já pensou que podia ter uma DST","",1,4
38,"Levante a mão se você já usou um objeto comum como brinquedo sexual e depois o colocou de volta","",1,4
39,"Levante a mão se você já fez sexo a 3","",1,4
40,"Aponte pra pessoa com quem você faria sexo","",3,4
41,"Levante a mão se você já se exibiu na webcam","",1,4
42,"Levante a mão se você já foi infiel","",1,4
43,"Levante a mão se você já nadou pelado","",1,4
44,"Levante a mão se você já ficou com o(a) ex de um(a) amigo(a)","",1,4
45,"Levante a mão se você já ficou com alguém desta roda","",1,4
46,"Aponte pra pessoa mais desorganizada","",3,2
47,"Levante um dedo para cada pessoa diferente com quem você transou (ou 5,para mais de 5)","",4,4
48,"Levante a mão se já comeu pra caramba e depois disse que ia começar uma dieta,mas não começou ","",1,1
49,"Levante a mão se já disse que ia parar de ser trouxa e continua sendo.","",1,2
50,"Levante a mão se você já repetiu de ano","",1,1
51,"Aponte para a pessoa mais trouxa","",3,2
52,"Levante a mão se você já beijou este ano","",1,3
53,"Levante a mão se você já brigou com alguém para defender algum ídolo","",1,2
54,"Levante a mão se já recebeu cantadas","",1,2
55,"Levante a mão se você já quis ser uma princesa","",1,1
56,"Levante a mão se você,num relacionamento,já foi aquele que correu atrás","",1,2
57,"Levante a mão se você já entrou ou manteve um relacionamento só pelo sexo","",1,3
58,"Levante a mão se você gosta de dançar","",1,1
59,"Levante a mão se você tem ou já teve o hábito de roer unhas","",1,1
60,"Levante a mão se você costuma se masturbar mais de 5x por semana","",1,4
61,"Aponte para quem mais se masturba","",3,4
62,"Aponte para quem canta melhor","",3,1
63,"Aponte para quem cozinha melhor","",3,1
64,"Levante um dedo para cada idioma que você fala","",4,1
65,"Levante a mão se você gosta de chá preto","",1,1
66,"Levante a mão se você gosta ou gostaria de ser vegetariano","",1,1
67,"Levante a mão se você gosta de jogos","",1,1
68,"Levante a mão se você canta no chuveiro","",1,1
69,"Levante a mão se você fica um dia sem tomar banho quando está frio","",1,1
70,"Aponte para a pessoa que come mais","",3,1
71,"Levante um dedo para o máximo de pessoas que você já beijou num mesmo dia (ou 5 para mais de 5)","",4,3
72,"Levante a mão se você já contraiu uma DST","",1,3
73,"Aponte para quem dança sozinho,mesmo sem música","",3,1
74,"Levante a mão se você assiste desenhos animados","",1,1
75,"Levante a mão se você tem medo de filmes de terror","",1,2
76,"Aponte para quem é mais medroso","",3,1
77,"Aponte para quem tem mais medo de filmes de terror","",3,2
78,"Aponte para quem é mais preguiçoso","",3,1
79,"Aponte para a pessoa mais teimosa","",3,1
80,"Levante a mão se você já ficou com alguém e guarda segredo","",1,3
